中国传媒大学,北京市,"['211工程,自主招生']"
南京艺术学院,江苏省,['']
云南艺术学院,云南省,['']
上海戏剧学院,上海市,['']
河北师范大学,河北省,['']
浙江理工大学,浙江省,['卓越计划']
四川音乐学院,四川省,['']
内蒙古大学,内蒙古自治区,"['211工程,含国防生']"
安庆师范大学,安徽省,['']
长春师范大学,吉林省,['']
吉林艺术学院,吉林省,['']
四川师范大学,四川省,['']
吉林体育学院,吉林省,['']
广西艺术学院,广西壮族自治区,['']
北京城市学院,北京市,['']
深圳大学,广东省,['']
大连艺术学院,辽宁省,['']
广州卫生职业技术学院,广东省,['']
河南商业高等专科学校,河南省,['']
苏州幼儿师范高等专科学校,江苏省,['']
赤峰职业技术学院,内蒙古自治区,['']
桐城师范高等专科学校,安徽省,['']
黑龙江公安警官职业学院,黑龙江省,['']
河北美术学院,河北省,['']
阜阳师范学院,安徽省,['']
辽宁财贸学院,辽宁省,['']
北京戏曲艺术职业学院,北京市,['']
苏州工艺美术职业技术学院,江苏省,['']
沈阳航空航天大学,辽宁省,['卓越计划']
皖西卫生职业学院,安徽省,['']
民办合肥财经职业学院,安徽省,['']
延边大学,吉林省,['211工程']
天津美术学院,天津市,['']
浙江传媒学院,浙江省,['']
沈阳大学,辽宁省,['卓越计划']
中央美术学院,北京市,['']
上海体育职业学院,上海市,['']
合肥共达职业技术学院,安徽省,['']
吉林动画学院,吉林省,['']
浙江汽车职业技术学院,浙江省,['']
中原工学院,河南省,['']
西南石油大学,四川省,['']
汉江师范学院,湖北省,['']
江西服装学院,江西省,['']
广东青年职业学院,广东省,['']
河南机电职业学院,河南省,['']
合肥幼儿师范高等专科学校,安徽省,['']
民办南华工商学院,广东省,['']
河南工程学院,河南省,['']
湖南大学,湖南省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
南昌航空大学,江西省,['卓越计划']
广东文艺职业学院,广东省,['']
河南交通职业技术学院,河南省,['']
四川文轩职业学院,四川省,['']
广东药科大学,广东省,['']
山东杏林科技职业学院,山东省,['']
重庆服装工程职业学院,重庆市,['']
武汉华夏理工学院,湖北省,['']
赣南师范大学,江西省,['']
广东科贸职业学院,广东省,['']
四川大学,四川省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
武汉传媒学院,湖北省,['']
南昌理工学院,江西省,['']
广州松田职业学院,广东省,['']
河南艺术职业学院,河南省,['']
东莞理工学院城市学院,广东省,['']
商丘师范学院,河南省,['']
湖北体育职业学院,湖北省,['']
江西管理职业学院,江西省,['']
广东生态工程职业学院,广东省,['']
河南财政金融学院,河南省,['']
民办四川天一学院,四川省,['']
华南农业大学,广东省,['']
青岛飞洋职业技术学院,山东省,['']
重庆人文科技学院,重庆市,['']
武汉音乐学院,湖北省,['']
江西师范大学,江西省,['']
广州体育职业技术学院,广东省,['']
河南农业职业学院,河南省,['']
四川护理职业学院,四川省,['']
上海体育职业学院,上海市,['']
湖南国防工业职业技术学院,湖北省,['']
新疆师范大学,新疆维吾尔自治区,['']
合肥共达职业技术学院,安徽省,['']
吉林动画学院,吉林省,['']
唐山幼儿师范高等专科学校,河北省,['']
西安体育学院,陕西省,['']
浙江汽车职业技术学院,浙江省,['']
锦州医科大学医疗学院,辽宁省,['']
云南水利水电职业学院,云南省,['']
安徽绿海商务职业学院,安徽省,['']
天津开发区职业技术学院,天津市,['']
浙江体育职业技术学院,浙江省,['']
大连工业大学艺术与信息工程学院,辽宁省,['']
北京电影学院,北京市,['']
南京体育学院,江苏省,['']
鄂尔多斯应用技术学院,内蒙古自治区,['']
合肥信息技术职业学院,安徽省,['']
哈尔滨体育学院,黑龙江省,['']
河北传媒学院,河北省,['']
